,Name,Web,Whether
180,000524岭南控股2018年年度报告.(3474k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-11/1206007035.PDF,FALSE
181,000524岭南控股2018年年度报告摘要.(355k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-11/1206007033.PDF,FALSE
182,000525红太阳2018年年度报告.(1191k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-09/1205997992.PDF,TRUE
183,000525红太阳2018年年度报告摘要.(291k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-09/1205997986.PDF,FALSE
184,000526紫光学大2018年年度报告.(4678k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-13/1206014279.PDF,FALSE
185,000526紫光学大2018年年度报告摘要.(292k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-13/1206014277.PDF,FALSE
186,000528柳工2018年年度报告.(5543k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982935.PDF,FALSE
187,000528柳工2018年年度报告摘要.(620k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-02/1205982937.PDF,FALSE
188,000529广弘控股2018年年度报告.(1197k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205964204.PDF,FALSE
189,000529广弘控股2018年年度报告摘要.(413k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205964191.PDF,FALSE
190,000530大冷股份2018年年度报告.(1167k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206059938.PDF,FALSE
191,000530大冷股份2018年年度报告摘要.(257k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-20/1206059933.PDF,FALSE
192,000532华金资本2018年年度报告.(5899k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205965170.PDF,FALSE
193,000532华金资本2018年年度报告摘要.(285k).PDF,http://static.cninfo.com.cn/finalpage/2019-03-30/1205965169.PDF,FALSE
194,000533顺钠股份2018年年度报告.(4042k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206162173.PDF,TRUE
195,000533顺钠股份2018年年度报告摘要.(265k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206162171.PDF,FALSE
196,000534万泽股份2018年年度报告.(4158k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206092833.PDF,FALSE
197,000534万泽股份2018年年度报告摘要.(801k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206092831.PDF,FALSE
198,000536华映科技2018年年度报告.(5384k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206167533.PDF,TRUE
199,000536华映科技2018年年度报告摘要.(381k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-30/1206167531.PDF,FALSE
200,000537广宇发展2018年年度报告.(3944k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-26/1206102199.PDF,FALSE
201,000537广宇发展2018年年度报告摘要.(680k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-26/1206102197.PDF,FALSE
202,000539粤电力A2018年年度报告.(11818k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-12/1206009073.PDF,FALSE
203,000539粤电力A2018年年度报告摘要.(281k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-12/1206009054.PDF,FALSE
204,000540中天金融2018年年度报告.(5400k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206094253.PDF,FALSE
205,000540中天金融2018年年度报告摘要.(426k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-25/1206094251.PDF,FALSE
206,000543皖能电力2018年年度报告.(3251k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206120890.PDF,FALSE
207,000543皖能电力2018年年度报告摘要.(246k).PDF,http://static.cninfo.com.cn/finalpage/2019-04-27/1206120881.PDF,FALSE
